Timestamp,Date,Time,Bus,Count,OnOff,Latitude,Longitude,Route,Stop
6/28/21 14:16:29,6/28/2021,14:15:25,2411,1,on,35.30811691,-80.73275757,Green,Student Union E
6/28/21 14:24:23,6/28/2021,14:16:29,2411,1,on,35.30811691,-80.73036957,Green,Aux Services East
6/28/21 14:29:07,6/28/2021,14:24:23,2402,5,on,35.31209946,-80.73326874,Green,Wallis Hall W/Light Rail
6/28/21 14:32:03,6/28/2021,14:29:07,2411,1,on,35.30767822,-80.72927856,Green,Fretwell N
6/28/21 14:57:02,6/28/2021,14:32:03,2402,2,on,35.30434036,-80.73269653,Green,Reese West
6/28/21 14:58:23,6/28/2021,14:57:02,2411,4,on,35.31195068,-80.73352814,Green,Wallis Hall W/Light Rail
6/28/21 15:02:41,6/28/2021,14:58:23,2402,1,on,35.3021431,-80.73269653,Green,Levine Hall E
6/28/21 15:11:36,6/28/2021,15:02:41,2402,1,on,35.31071854,-80.72933197,Green,Student Health N
6/28/21 15:23:18,6/28/2021,15:11:36,2402,1,on,35.30807495,-80.7327652,Green,Student Union E
6/28/21 15:25:20,6/28/2021,15:23:18,2411,3,on,35.30810547,-80.73280335,Green,Student Union E
6/28/21 15:31:06,6/28/2021,15:25:20,2402,1,on,35.30754471,-80.72933197,Green,Fretwell N
6/28/21 15:43:03,6/28/2021,15:31:06,2402,1,on,35.31197357,-80.73339081,Green,Wallis Hall W/Light Rail
6/28/21 15:46:43,6/28/2021,15:43:03,2411,1,on,35.31194687,-80.73347473,Green,Wallis Hall W/Light Rail
6/28/21 15:58:41,6/28/2021,15:46:43,2402,1,on,35.30332184,-80.72945404,Green,Robinson Hall N
6/28/21 16:01:06,6/28/2021,15:58:41,2402,11,on,35.30810165,-80.73277283,Green,Student Union E
6/28/21 16:10:30,6/28/2021,16:01:06,2411,2,on,35.30765915,-80.72935486,Green,Fretwell N
6/28/21 16:28:02,6/28/2021,16:10:30,2411,1,on,35.30810547,-80.73296356,Green,Student Union E
6/28/21 16:30:20,6/28/2021,16:28:02,2411,1,on,35.3119545,-80.7334671,Green,Wallis Hall W/Light Rail
6/28/21 16:37:20,6/28/2021,16:30:20,2402,5,on,35.30216599,-80.73274994,Green,Levine Hall E
6/28/21 16:49:12,6/28/2021,16:37:20,2411,1,on,35.30444717,-80.73280335,Green,Reese West
6/28/21 16:50:52,6/28/2021,16:49:12,2411,1,on,35.31189728,-80.73339844,Green,Wallis Hall W/Light Rail
6/28/21 17:03:41,6/28/2021,16:50:52,2411,3,on,35.31190872,-80.73340607,Green,Wallis Hall W/Light Rail
6/28/21 17:05:37,6/28/2021,17:03:41,2411,1,on,35.30209351,-80.73271942,Green,Levine Hall E
6/28/21 17:10:27,6/28/2021,17:05:37,2402,2,on,35.30804062,-80.73272705,Green,Student Union E
6/28/21 17:14:27,6/28/2021,17:10:27,2402,1,on,35.30438995,-80.73269653,Green,Reese West
6/28/21 17:15:25,6/28/2021,17:14:27,2411,3,on,35.31193161,-80.73339844,Green,Wallis Hall W/Light Rail
6/28/21 17:17:31,6/28/2021,17:15:25,2402,2,on,35.30340195,-80.72948456,Green,Robinson Hall N
6/28/21 17:22:49,6/28/2021,17:17:31,2411,1,on,35.30802536,-80.73271179,Green,Student Union E
6/28/21 17:26:53,6/28/2021,17:22:49,2402,1,on,35.31189346,-80.73335266,Green,Wallis Hall W/Light Rail
6/28/21 18:07:16,6/28/2021,17:26:53,2402,1,on,35.30804443,-80.73274231,Green,Student Union E
6/28/21 18:14:09,6/28/2021,18:07:16,2402,1,on,35.31063843,-80.72933197,Green,Student Health N
6/28/21 18:14:40,6/28/2021,18:14:09,2411,1,on,35.31068039,-80.72925568,Green,Student Health N
6/28/21 18:20:24,6/28/2021,18:14:40,2402,1,on,35.30806351,-80.73272705,Green,Student Union E
6/28/21 18:26:51,6/28/2021,18:20:24,2411,2,on,35.30807495,-80.73279572,Green,Student Union E
6/28/21 18:29:49,6/28/2021,18:26:51,2402,1,on,35.31167603,-80.73054504,Green,Student Health (Green) W
6/28/21 18:43:04,6/28/2021,18:29:49,2402,1,on,35.31199646,-80.73352814,Green,Wallis Hall W/Light Rail
6/28/21 19:01:17,6/28/2021,18:43:04,2411,1,on,35.31192017,-80.73342896,Green,Wallis Hall W/Light Rail
6/28/21 19:08:55,6/28/2021,19:01:17,2411,1,on,35.31062698,-80.72914887,Green,Student Health N
6/28/21 19:21:04,6/28/2021,19:08:55,2411,2,on,35.30809784,-80.73265839,Green,Student Union E
6/28/21 20:15:39,6/28/2021,19:21:04,2402,1,on,35.30815125,-80.73291779,Green,Student Union E
6/28/21 20:22:28,6/28/2021,20:15:39,2411,1,on,35.3080101,-80.73282623,Green,Student Union E
6/28/21 20:25:12,6/28/2021,20:22:28,2402,1,on,35.31420517,-80.73188782,Green,North Deck
6/28/21 20:25:33,6/28/2021,20:25:12,2402,1,on,35.31205368,-80.73305512,Green,Wallis Hall W/Light Rail
6/28/21 20:28:08,6/28/2021,20:25:33,2411,3,on,35.30208588,-80.73274231,Green,Levine Hall E
6/28/21 20:39:17,6/28/2021,20:28:08,2402,1,on,35.30806351,-80.73267365,Green,Student Union E
6/28/21 20:45:42,6/28/2021,20:39:17,2411,1,on,35.3070221,-80.72942352,Green,Fretwell S
