Timestamp,Date,Time,Bus,Count,OnOff,Latitude,Longitude,Route,Stop
7/2/2020 8:26,7/2/2020,8:26:23,2401,1,on,35.26676178,-80.80987549,Silver,CRI Deck
7/2/2020 9:09,7/2/2020,9:09:05,2403,1,on,35.30941391,-80.74402618,Silver,CRI Deck
7/2/2020 9:24,7/2/2020,9:24:39,2403,2,on,35.3072319,-80.7252121,Silver,Lot 5A
7/2/2020 9:38,7/2/2020,9:38:17,2401,1,on,35.3087883,-80.72505951,Silver,Lot 6
7/2/2020 9:49,7/2/2020,9:49:23,2403,1,on,35.30881119,-80.72503662,Silver,Lot 6
7/2/2020 10:05,7/2/2020,10:05:58,2401,1,on,35.3072052,-80.7252121,Silver,Lot 5A
7/2/2020 10:15,7/2/2020,10:15:54,2403,1,on,35.3071785,-80.72523499,Silver,Lot 5A
7/2/2020 10:20,7/2/2020,10:20:18,2401,1,on,35.31229782,-80.74173737,Silver,Duke Centennial Hall East
7/2/2020 10:57,7/2/2020,10:57:42,2403,1,on,35.31230164,-80.74160767,Silver,Duke Centennial Hall East
7/2/2020 11:06,7/2/2020,11:06:26,2403,1,on,35.30715942,-80.72525787,Silver,Lot 5A
